class,f1,precision,recall,support
ageism,0.000000,0.000000,0.000000,9.0
aporophobia,0.000000,0.000000,0.000000,10.4
body_shame,0.000000,0.000000,0.000000,44.4
capacitism,0.000000,0.000000,0.000000,17.6
lgbtphobia,0.000000,0.000000,0.000000,131.2
political,0.000000,0.000000,0.000000,184.0
racism,0.000000,0.000000,0.000000,46.8
religious_intolerance,0.000000,0.000000,0.000000,18.2
misogyny,0.000000,0.000000,0.000000,268.0
xenophobia,0.000000,0.000000,0.000000,53.8
other,0.000000,0.000000,0.000000,719.6
not_hate,0.936008,0.879716,1.000000,6146.4
